PUBMED_ID,URI,TRAIT
17618283,http://www.ebi.ac.uk/efo/EFO_0005842,colorectal cancer
17618284,http://www.ebi.ac.uk/efo/EFO_0005842,colorectal cancer
17632509,http://www.ebi.ac.uk/efo/EFO_0004210,gallstones
17632545,http://www.ebi.ac.uk/efo/EFO_0001359,type i diabetes mellitus
17634447,http://www.ebi.ac.uk/efo/EFO_0004270,restless legs syndrome
17634449,http://www.ebi.ac.uk/efo/EFO_0001645,coronary heart disease
17637780,http://www.ebi.ac.uk/efo/EFO_0004270,restless legs syndrome
17641165,http://purl.obolibrary.org/obo/GO_0009615,response to virus
17653210,http://www.ebi.ac.uk/efo/EFO_0004997,type 2 diabetes nephropathy
17658951,http://www.ebi.ac.uk/efo/EFO_0004338,body weight
17658951,http://www.ebi.ac.uk/efo/EFO_0004340,body mass index
17658951,http://www.ebi.ac.uk/efo/EFO_0004343,waist-hip ratio
17660530,http://www.ebi.ac.uk/efo/EFO_0003885,multiple sclerosis
17667963,http://www.ebi.ac.uk/efo/EFO_0004257,neurotic disorder
17668382,http://www.ebi.ac.uk/efo/EFO_0001360,type ii diabetes mellitus
17671248,http://www.ebi.ac.uk/efo/EFO_0000253,amyotrophic lateral sclerosis
17684544,http://www.ebi.ac.uk/efo/EFO_0000384,crohn's disease
17690259,http://www.ebi.ac.uk/efo/EFO_0004235,exfoliation syndrome
17767157,http://www.ebi.ac.uk/efo/EFO_0004339,body height
17767159,http://www.ebi.ac.uk/efo/EFO_0004576,fetal hemoglobin measurement
17804789,http://www.ebi.ac.uk/efo/EFO_0000384,crohn's disease
17804836,http://www.ebi.ac.uk/efo/EFO_0000685,rheumatoid arthritis
17827064,http://www.ebi.ac.uk/efo/EFO_0000253,amyotrophic lateral sclerosis
17846124,http://www.ebi.ac.uk/efo/EFO_0001360,type ii diabetes mellitus
17846125,http://www.ebi.ac.uk/efo/EFO_0001360,type ii diabetes mellitus
17846126,http://www.ebi.ac.uk/efo/EFO_0001360,type ii diabetes mellitus
17848626,http://www.ebi.ac.uk/efo/EFO_0001360,type ii diabetes mellitus
17848626,http://www.ebi.ac.uk/efo/EFO_0004467,insulin measurement
17848626,http://www.ebi.ac.uk/efo/EFO_0004468,glucose measurement
17903292,http://www.ebi.ac.uk/efo/EFO_0004285,albuminuria
17903292,http://www.ebi.ac.uk/efo/EFO_0004617,cystatin c measurement
17903292,http://www.ebi.ac.uk/efo/EFO_0004748,thyroid stimulating hormone measurement
17903293,http://www.ebi.ac.uk/efo/EFO_0004458,c-reactive protein measurement
17903293,http://www.ebi.ac.uk/efo/EFO_0004533,alkaline phosphatase measurement
17903293,http://www.ebi.ac.uk/efo/EFO_0004570,bilirubin measurement
17903293,http://www.ebi.ac.uk/efo/EFO_0004618,vitamin K measurement
17903293,http://www.ebi.ac.uk/efo/EFO_0004631,vitamin D measurement
17903293,http://www.ebi.ac.uk/efo/EFO_0004684,tumor necrosis factor-alpha measurement
17903293,http://www.ebi.ac.uk/efo/EFO_0004735,serum alanine aminotransferase measurement
17903293,http://www.ebi.ac.uk/efo/EFO_0004749,CCL2 measurement
17903293,http://www.ebi.ac.uk/efo/EFO_0004789,atrial natriuretic factor measurement
17903293,http://www.ebi.ac.uk/efo/EFO_0004790,CD40 ligand measurement
17903294,http://purl.obolibrary.org/obo/GO_0070527,platelet aggregation
17903294,http://www.ebi.ac.uk/efo/EFO_0004301,blood viscosity
17903294,http://www.ebi.ac.uk/efo/EFO_0004305,erythrocyte count
17903294,http://www.ebi.ac.uk/efo/EFO_0004509,hemoglobin measurement
17903294,http://www.ebi.ac.uk/efo/EFO_0004527,mean corpuscular hemoglobin
17903294,http://www.ebi.ac.uk/efo/EFO_0004619,factor VII measurement
17903294,http://www.ebi.ac.uk/efo/EFO_0004791,tissue plasminogen activator measurement
17903294,http://www.ebi.ac.uk/efo/EFO_0004792,plasminogen activator inhibitor 1 measurement
17903295,http://purl.obolibrary.org/obo/GO_0007568,aging
17903295,http://www.ebi.ac.uk/efo/EFO_0000409,disease free survival
17903295,http://www.ebi.ac.uk/efo/EFO_0004328,exercise test
17903295,http://www.ebi.ac.uk/efo/EFO_0004704,age at menopause
17903295,http://www.ebi.ac.uk/efo/EFO_0005056,age at death
17903296,http://www.ebi.ac.uk/efo/EFO_0003923,bone density
17903296,http://www.ebi.ac.uk/efo/EFO_0004685,hip geometry
17903297,http://www.ebi.ac.uk/efo/EFO_0003926,neuropsychological test
17903297,http://www.ebi.ac.uk/efo/EFO_0004868,volumetric brain MRI
17903298,http://www.ebi.ac.uk/efo/EFO_0000400,diabetes mellitus
17903298,http://www.ebi.ac.uk/efo/EFO_0002614,insulin resistance
17903298,http://www.ebi.ac.uk/efo/EFO_0004465,fasting blood glucose measurement
17903298,http://www.ebi.ac.uk/efo/EFO_0004466,fasting blood insulin measurement
17903298,http://www.ebi.ac.uk/efo/EFO_0004471,insulin sensitivity measurement
17903298,http://www.ebi.ac.uk/efo/EFO_0004541,a1c measurement
17903299,http://www.ebi.ac.uk/efo/EFO_0004529,lipid measurement
17903300,http://www.ebi.ac.uk/efo/EFO_0004340,body mass index
17903300,http://www.ebi.ac.uk/efo/EFO_0004342,waist circumference
17903301,http://www.ebi.ac.uk/efo/EFO_0004294,left atrial function
17903301,http://www.ebi.ac.uk/efo/EFO_0004295,left ventricular function
17903301,http://www.ebi.ac.uk/efo/EFO_0004298,cardiovascular measurement
17903301,http://www.ebi.ac.uk/efo/EFO_0004328,exercise test
17903302,http://www.ebi.ac.uk/efo/EFO_0004325,blood pressure
17903303,http://www.ebi.ac.uk/efo/EFO_0003912,ankle brachial index
17903303,http://www.ebi.ac.uk/efo/EFO_0004723,coronary artery calcification
17903303,http://www.ebi.ac.uk/efo/EFO_0004859,abdominal aortic artery calcification
17903303,http://www.ebi.ac.uk/efo/EFO_0004860,common carotid intimal medial thickness
17903303,http://www.ebi.ac.uk/efo/EFO_0005053,internal carotid intimal medial thickness
17903304,http://www.ebi.ac.uk/efo/EFO_0000275,atrial fibrillation
17903304,http://www.ebi.ac.uk/efo/EFO_0000319,cardiovascular disease
17903304,http://www.ebi.ac.uk/efo/EFO_0003144,heart failure
17903305,http://www.ebi.ac.uk/efo/EFO_0000305,breast carcinoma
17903305,http://www.ebi.ac.uk/efo/EFO_0001663,prostate carcinoma
17903306,http://www.ebi.ac.uk/efo/EFO_0004326,heart rate
17903306,http://www.ebi.ac.uk/efo/EFO_0004327,electrocardiography
17903307,http://www.ebi.ac.uk/efo/EFO_0003892,pulmonary function measurement
17903307,http://www.ebi.ac.uk/efo/EFO_0004312,vital capacity
17903308,http://www.ebi.ac.uk/efo/EFO_0004870,sleep measurement
17911428,http://www.ebi.ac.uk/efo/EFO_0002690,systemic lupus erythematosus
17934461,http://www.ebi.ac.uk/efo/EFO_0005842,colorectal cancer
17952075,http://www.ebi.ac.uk/efo/EFO_0003924,hair color
17952075,http://www.ebi.ac.uk/efo/EFO_0003949,eye color
17952075,http://www.ebi.ac.uk/efo/EFO_0003963,freckles
17952075,http://www.ebi.ac.uk/efo/EFO_0004795,skin sensitivity to sun
17975299,http://www.ebi.ac.uk/efo/EFO_0000249,Alzheimers disease
17982456,http://www.ebi.ac.uk/efo/EFO_0000685,rheumatoid arthritis
17997608,http://www.ebi.ac.uk/efo/EFO_0004531,urate measurement
17998437,http://www.ebi.ac.uk/efo/EFO_0000249,Alzheimers disease
17999355,http://www.ebi.ac.uk/efo/EFO_0003784,skin pigmentation
18057069,http://www.ebi.ac.uk/efo/EFO_0000253,amyotrophic lateral sclerosis
18067574,http://www.ebi.ac.uk/efo/EFO_0004337,intelligence
18073375,http://www.ebi.ac.uk/efo/EFO_0001663,prostate carcinoma
18075462,http://www.ebi.ac.uk/efo/EFO_0004225,coronary vasospasm
18084291,http://www.ebi.ac.uk/efo/EFO_0000253,amyotrophic lateral sclerosis
18159244,http://www.ebi.ac.uk/efo/EFO_0001073,obesity
18179892,http://www.ebi.ac.uk/efo/EFO_0004531,urate measurement
18179892,http://www.ebi.ac.uk/efo/EFO_0004611,low density lipoprotein cholesterol measurement
18193043,http://www.ebi.ac.uk/efo/EFO_0004530,triglyceride measurement
18193043,http://www.ebi.ac.uk/efo/EFO_0004611,low density lipoprotein cholesterol measurement
18193043,http://www.ebi.ac.uk/efo/EFO_0004612,high density lipoprotein cholesterol measurement
18193044,http://www.ebi.ac.uk/efo/EFO_0004530,triglyceride measurement
18193044,http://www.ebi.ac.uk/efo/EFO_0004611,low density lipoprotein cholesterol measurement
18193044,http://www.ebi.ac.uk/efo/EFO_0004612,high density lipoprotein cholesterol measurement
18193045,http://www.ebi.ac.uk/efo/EFO_0004339,body height
18193046,http://www.ebi.ac.uk/efo/EFO_0004530,triglyceride measurement
18195134,http://purl.obolibrary.org/obo/GO_0035456,response to interferon beta
18198356,http://www.ebi.ac.uk/efo/EFO_0001359,type i diabetes mellitus
18204098,http://www.ebi.ac.uk/efo/EFO_0002690,systemic lupus erythematosus
18204446,http://www.ebi.ac.uk/efo/EFO_0002690,systemic lupus erythematosus
18204447,http://www.ebi.ac.uk/efo/EFO_0002690,systemic lupus erythematosus
18227835,http://www.ebi.ac.uk/efo/EFO_0003768,nicotine dependence
18239089,http://www.ebi.ac.uk/efo/EFO_0004863,recombination rate
18245381,http://www.ebi.ac.uk/efo/EFO_0004576,fetal hemoglobin measurement
18252221,http://www.ebi.ac.uk/efo/EFO_0003949,eye color
18262040,http://www.ebi.ac.uk/efo/EFO_0004611,low density lipoprotein cholesterol measurement
18264096,http://www.ebi.ac.uk/efo/EFO_0001663,prostate carcinoma
18264097,http://www.ebi.ac.uk/efo/EFO_0001663,prostate carcinoma
18264098,http://www.ebi.ac.uk/efo/EFO_0001663,prostate carcinoma
18282107,http://www.ebi.ac.uk/efo/EFO_0000692,schizophrenia
18311140,http://www.ebi.ac.uk/efo/EFO_0001060,celiac disease
18313986,http://www.ebi.ac.uk/efo/EFO_0000253,amyotrophic lateral sclerosis
18316681,http://www.ebi.ac.uk/efo/EFO_0004701,metamphetamine dependence
18317468,http://www.ebi.ac.uk/efo/EFO_0000289,bipolar disorder
18325910,http://www.ebi.ac.uk/efo/EFO_0001073,obesity
18326623,http://www.ebi.ac.uk/efo/EFO_0000305,breast carcinoma
18327256,http://www.ebi.ac.uk/efo/EFO_0004531,urate measurement
18327257,http://www.ebi.ac.uk/efo/EFO_0004531,urate measurement
18332876,http://www.ebi.ac.uk/efo/EFO_0000692,schizophrenia
18347602,http://www.ebi.ac.uk/efo/EFO_0000692,schizophrenia
18360741,http://www.ebi.ac.uk/efo/EFO_0004779,chaos measure
18364390,http://www.ebi.ac.uk/efo/EFO_0000676,psoriasis
18369103,http://www.ebi.ac.uk/efo/EFO_0000692,schizophrenia
18369459,http://www.ebi.ac.uk/efo/EFO_0000676,psoriasis
18372901,http://www.ebi.ac.uk/efo/EFO_0005842,colorectal cancer
18372903,http://www.ebi.ac.uk/efo/EFO_0001360,type ii diabetes mellitus
18372905,http://www.ebi.ac.uk/efo/EFO_0005842,colorectal cancer
18385676,http://www.ebi.ac.uk/efo/EFO_0001071,lung carcinoma
18385738,http://www.ebi.ac.uk/efo/EFO_0001071,lung carcinoma
18385739,http://www.ebi.ac.uk/efo/EFO_0003768,nicotine dependence
18391950,http://www.ebi.ac.uk/efo/EFO_0004339,body height
18391951,http://www.ebi.ac.uk/efo/EFO_0004339,body height
18391952,http://www.ebi.ac.uk/efo/EFO_0004339,body height
18403759,http://www.ebi.ac.uk/efo/EFO_0004869,YKL40 measurement
18439548,http://www.ebi.ac.uk/efo/EFO_0004458,c-reactive protein measurement
18439552,http://www.ebi.ac.uk/efo/EFO_0004458,c-reactive protein measurement
18445777,http://www.ebi.ac.uk/efo/EFO_0003923,bone density
18449908,http://www.ebi.ac.uk/efo/EFO_0000249,Alzheimers disease
18451265,http://www.ebi.ac.uk/efo/EFO_0004465,fasting blood glucose measurement
18454146,http://www.ebi.ac.uk/efo/EFO_0004342,waist circumference
18454146,http://www.ebi.ac.uk/efo/EFO_0004530,triglyceride measurement
18454146,http://www.ebi.ac.uk/efo/EFO_0004612,high density lipoprotein cholesterol measurement
18454148,http://www.ebi.ac.uk/efo/EFO_0004340,body mass index
18455228,http://www.ebi.ac.uk/efo/EFO_0003923,bone density
18463370,http://www.ebi.ac.uk/efo/EFO_0000621,neuroblastoma
18463975,http://www.ebi.ac.uk/efo/EFO_0000305,breast carcinoma
18464913,http://www.ebi.ac.uk/efo/EFO_0004458,c-reactive protein measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004459,ferritin measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004460,soluble transferrin receptor measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004467,insulin measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004502,adiponectin measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004509,hemoglobin measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004532,serum gamma-glutamyl transferase measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004533,alkaline phosphatase measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004535,serum albumin measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004555,glycoprotein measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004581,interleukin 18 measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004614,apolipoprotein a 1 measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004623,fibrinogen measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004628,insulin like growth factor measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004684,tumor necrosis factor-alpha measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004696,sex hormone globulin binding measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004730,hormone measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004736,aspartate aminotransferase measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004748,thyroid stimulating hormone measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004749,CCL2 measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004750,interleukin 10 measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004751,CCL4 measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004752,parathyroid hormone measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004753,interleukin 12 measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004754,interleukin 1 receptor antagonist measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004808,l lactate dehydrogenase measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004809,fructose-bisphosphate aldolase measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004810,interleukin-6 measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004811,interleukin-8 measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004812,interleukin-1 beta measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004813,alpha globulin measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004814,interleukin-6 receptor measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004815,alpha macroglobulin measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004818,transforming growth factor beta measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0004819,resistin measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0005000,leptin measurement
18464913,http://www.ebi.ac.uk/efo/EFO_0005057,myoglobin measurement
18471798,http://www.ebi.ac.uk/efo/EFO_0004616,osteoarthritis of the knee
18483556,http://www.ebi.ac.uk/efo/EFO_0003924,hair color
18488026,http://www.ebi.ac.uk/efo/EFO_0000756,melanoma
18488028,http://www.ebi.ac.uk/efo/EFO_0003924,hair color
18488028,http://www.ebi.ac.uk/efo/EFO_0003949,eye color
18488028,http://www.ebi.ac.uk/efo/EFO_0003958,sunburn
18488028,http://www.ebi.ac.uk/efo/EFO_0003963,freckles
18488028,http://www.ebi.ac.uk/efo/EFO_0004795,skin sensitivity to sun
18514160,http://www.ebi.ac.uk/efo/EFO_0004296,thyroid function
18519826,http://www.ebi.ac.uk/efo/EFO_0004319,smoking cessation
18521090,http://purl.obolibrary.org/obo/GO_0036287,response to iloperidone
18521091,http://purl.obolibrary.org/obo/GO_0036287,response to iloperidone
18521185,http://www.ebi.ac.uk/efo/EFO_0004465,fasting blood glucose measurement
18535201,http://purl.obolibrary.org/obo/GO_0061476,response to anticoagulant
18576341,http://www.ebi.ac.uk/efo/EFO_0002609,chronic childhood arthritis
18587394,http://www.ebi.ac.uk/efo/EFO_0000384,crohn's disease
18591461,http://purl.obolibrary.org/obo/GO_0036270,response to diruetic
18594024,http://www.ebi.ac.uk/efo/EFO_0004259,osteonecrosis
18601904,http://www.ebi.ac.uk/efo/EFO_0000713,subarachnoid hemorrhage
18604267,http://www.ebi.ac.uk/efo/EFO_0004520,icam-1 measurement
18615156,http://www.ebi.ac.uk/efo/EFO_0004653,response to tnf antagonist
18650507,http://purl.obolibrary.org/obo/GO_0036273,response to statin
18660810,http://www.ebi.ac.uk/efo/EFO_0004270,restless legs syndrome
18668548,http://www.ebi.ac.uk/efo/EFO_0000685,rheumatoid arthritis
18677311,http://www.ebi.ac.uk/efo/EFO_0000692,schizophrenia
18685109,http://www.ebi.ac.uk/efo/EFO_0004798,copy number variation
18685109,http://www.orpha.net/ORDO/Orphanet_524,Li-Fraumeni syndrome
18711365,http://www.ebi.ac.uk/efo/EFO_0000289,bipolar disorder
18711366,http://www.ebi.ac.uk/efo/EFO_0001360,type ii diabetes mellitus
18711367,http://www.ebi.ac.uk/efo/EFO_0001360,type ii diabetes mellitus
18723019,http://www.ebi.ac.uk/efo/EFO_0000384,crohn's disease
18723019,http://www.orpha.net/ORDO/Orphanet_797,sarcoidosis
18729187,http://www.ebi.ac.uk/efo/EFO_0000571,lung adenocarcinoma
18758461,http://www.ebi.ac.uk/efo/EFO_0000095,chronic lymphocytic leukemia
18758464,http://www.ebi.ac.uk/efo/EFO_0003767,inflammatory bowel disease
18759275,http://www.ebi.ac.uk/efo/EFO_0004761,uric acid measurement
18760390,http://www.ebi.ac.uk/efo/EFO_0004238,hearing loss
18762592,http://www.ebi.ac.uk/efo/EFO_0004257,neurotic disorder
18776911,http://www.ebi.ac.uk/efo/EFO_0004620,vitamin B12 measurement
18776929,http://www.ebi.ac.uk/efo/EFO_0004844,hip bone size
18780872,http://www.ebi.ac.uk/efo/EFO_0001071,lung carcinoma
18794853,http://www.ebi.ac.uk/efo/EFO_0000685,rheumatoid arthritis
18794855,http://www.ebi.ac.uk/efo/EFO_0000292,bladder carcinoma
18802019,http://www.ebi.ac.uk/efo/EFO_0004611,low density lipoprotein cholesterol measurement
18820697,http://www.ebi.ac.uk/efo/EFO_0000614,narcolepsy with cataplexy
18821564,http://www.ebi.ac.uk/efo/EFO_0003888,attention deficit hyperactivity disorder
18821565,http://purl.obolibrary.org/obo/GO_0007610,behavior
18821565,http://www.ebi.ac.uk/efo/EFO_0003888,attention deficit hyperactivity disorder
18823527,http://www.ebi.ac.uk/efo/EFO_0000249,Alzheimers disease
18834626,http://www.ebi.ac.uk/efo/EFO_0004531,urate measurement
18835860,http://www.ebi.ac.uk/efo/EFO_0000768,idiopathic pulmonary fibrosis
18836448,http://www.ebi.ac.uk/efo/EFO_0000729,ulcerative colitis
18839057,http://www.ebi.ac.uk/efo/EFO_0003888,attention deficit hyperactivity disorder
18840781,http://www.ebi.ac.uk/efo/EFO_0001359,type i diabetes mellitus
18846228,http://www.ebi.ac.uk/efo/EFO_0004579,serum IgE measurement
18846501,http://www.ebi.ac.uk/efo/EFO_0003888,attention deficit hyperactivity disorder
18846501,http://www.ebi.ac.uk/efo/EFO_0004216,conduct disorder
18849991,http://www.ebi.ac.uk/efo/EFO_0004191,androgenetic alopecia
18849993,http://www.ebi.ac.uk/efo/EFO_0004193,basal cell carcinoma
18849994,http://www.ebi.ac.uk/efo/EFO_0004191,androgenetic alopecia
18937294,http://www.ebi.ac.uk/efo/EFO_0003888,attention deficit hyperactivity disorder
18940312,http://www.ebi.ac.uk/efo/EFO_0004582,liver enzyme measurement
18941528,http://www.ebi.ac.uk/efo/EFO_0003885,multiple sclerosis
18951430,http://www.ebi.ac.uk/efo/EFO_0003888,attention deficit hyperactivity disorder
18951430,http://www.ebi.ac.uk/efo/EFO_0004216,conduct disorder
18952825,http://www.ebi.ac.uk/efo/EFO_0004339,body height
18957941,http://www.ebi.ac.uk/efo/EFO_0004365,personality trait
18976728,http://www.ebi.ac.uk/efo/EFO_0000249,Alzheimers disease
18978787,http://www.ebi.ac.uk/efo/EFO_0001071,lung carcinoma
18978790,http://www.ebi.ac.uk/efo/EFO_0001071,lung carcinoma
18978792,http://www.ebi.ac.uk/efo/EFO_0001359,type i diabetes mellitus
18980221,http://www.ebi.ac.uk/efo/EFO_0003888,attention deficit hyperactivity disorder
18985386,http://www.ebi.ac.uk/efo/EFO_0002508,parkinson's disease
18987618,http://www.ebi.ac.uk/efo/EFO_0000253,amyotrophic lateral sclerosis
18991354,http://www.ebi.ac.uk/efo/EFO_0000712,stroke
18997785,http://www.ebi.ac.uk/efo/EFO_0003885,multiple sclerosis
18997786,http://www.ebi.ac.uk/efo/EFO_0003870,brain aneurysm
19009022,http://www.ebi.ac.uk/efo/EFO_0003768,nicotine dependence
19010793,http://www.ebi.ac.uk/efo/EFO_0003885,multiple sclerosis
19010793,http://www.ebi.ac.uk/efo/EFO_0004847,age at onset
19011631,http://www.ebi.ac.uk/efo/EFO_0005842,colorectal cancer
19023125,http://www.ebi.ac.uk/efo/EFO_0000692,schizophrenia
19023125,http://www.ebi.ac.uk/efo/EFO_0004464,brain measurement
19030899,http://www.ebi.ac.uk/efo/EFO_0004339,body height
19043545,http://www.ebi.ac.uk/efo/EFO_0004529,lipid measurement
19043545,http://www.ebi.ac.uk/efo/EFO_0004622,sphingolipid measurement
19043545,http://www.ebi.ac.uk/efo/EFO_0004639,phospholipid measurement
19043545,http://www.ebi.ac.uk/efo/EFO_0004846,serotonin measurement
19043545,http://www.ebi.ac.uk/efo/EFO_0004998,carbohydrate measurement
19043545,http://www.ebi.ac.uk/efo/EFO_0005001,phenylalanine measurement
19043545,http://www.ebi.ac.uk/efo/EFO_0005002,lysine measurement
19043545,http://www.ebi.ac.uk/efo/EFO_0005058,tyrosine measurement
19043545,http://www.ebi.ac.uk/efo/EFO_0005059,acylcarnitine measurement
19047183,http://www.ebi.ac.uk/efo/EFO_0004238,hearing loss
19056611,http://www.ebi.ac.uk/efo/EFO_0001360,type ii diabetes mellitus
19060906,http://www.ebi.ac.uk/efo/EFO_0004530,triglyceride measurement
19060906,http://www.ebi.ac.uk/efo/EFO_0004611,low density lipoprotein cholesterol measurement
19060906,http://www.ebi.ac.uk/efo/EFO_0004612,high density lipoprotein cholesterol measurement
19060907,http://www.ebi.ac.uk/efo/EFO_0004465,fasting blood glucose measurement
19060909,http://www.ebi.ac.uk/efo/EFO_0004465,fasting blood glucose measurement
19060910,http://purl.obolibrary.org/obo/GO_0006954,inflammatory response
19060910,http://www.ebi.ac.uk/efo/EFO_0004467,insulin measurement
19060910,http://www.ebi.ac.uk/efo/EFO_0004468,glucose measurement
19060910,http://www.ebi.ac.uk/efo/EFO_0004530,triglyceride measurement
19060910,http://www.ebi.ac.uk/efo/EFO_0004611,low density lipoprotein cholesterol measurement
19060910,http://www.ebi.ac.uk/efo/EFO_0004612,high density lipoprotein cholesterol measurement
19060911,http://www.ebi.ac.uk/efo/EFO_0004530,triglyceride measurement
19060911,http://www.ebi.ac.uk/efo/EFO_0004574,total cholesterol measurement
19060911,http://www.ebi.ac.uk/efo/EFO_0004611,low density lipoprotein cholesterol measurement
19060911,http://www.ebi.ac.uk/efo/EFO_0004612,high density lipoprotein cholesterol measurement
19065144,http://www.ebi.ac.uk/efo/EFO_0003761,unipolar depression
19074352,http://www.ebi.ac.uk/efo/EFO_0004530,triglyceride measurement
